image,xmin,ymin,xmax,ymax,label
140.jpg,3025,445,3593,1078,bar_clamp
141.jpg,138,313,789,1039,bar_clamp
142.jpg,2657,578,3218,1207,bar_clamp
143.jpg,222,681,896,1413,bar_clamp
144.jpg,3154,745,3841,1461,bar_clamp
145.jpg,367,749,1025,1461,bar_clamp
146.jpg,1199,300,1696,958,bar_clamp
147.jpg,3086,187,3660,881,bar_clamp
148.jpg,680,378,1335,1023,bar_clamp
149.jpg,286,1352,860,2058,bar_clamp
150.jpg,2744,1520,3435,2261,bar_clamp
151.jpg,512,1600,1270,2055,bar_clamp
152.jpg,2480,1842,3251,2407,bar_clamp
153.jpg,2499,452,3038,1165,bar_clamp
154.jpg,551,1481,1328,2136,bar_clamp
155.jpg,1244,920,1925,1520,bar_clamp
156.jpg,2586,2078,3193,2961,bar_clamp
157.jpg,2906,1245,3738,1749,bar_clamp
158.jpg,602,1678,1306,2258,bar_clamp
159.jpg,2073,1078,2538,1768,bar_clamp
160.jpg,1725,1287,2289,1813,gear_box
161.jpg,1989,1213,2531,1755,gear_box
162.jpg,2083,2042,2673,2597,gear_box
163.jpg,2599,2203,3060,2768,gear_box
164.jpg,3322,2290,3886,2771,gear_box
165.jpg,3267,1687,3870,2239,gear_box
166.jpg,3235,1958,3815,2565,gear_box
167.jpg,3128,1903,3677,2439,gear_box
168.jpg,3247,1768,3822,2284,gear_box
169.jpg,3015,1097,3544,1516,gear_box
170.jpg,2977,823,3502,1339,gear_box
171.jpg,2731,552,3357,1103,gear_box
172.jpg,2228,358,2777,861,gear_box
173.jpg,1593,313,2044,845,gear_box
174.jpg,2089,168,2628,784,gear_box
175.jpg,2470,313,3012,903,gear_box
176.jpg,2538,281,2993,803,gear_box
177.jpg,2525,281,3125,755,gear_box
178.jpg,3106,207,3754,781,gear_box
179.jpg,3293,542,3870,1003,gear_box
180.jpg,1906,81,2377,652,gear_box
181.jpg,2302,452,2825,1058,gear_box
182.jpg,2622,523,3177,994,gear_box
183.jpg,2541,1097,2986,1590,gear_box
184.jpg,2422,1339,2983,1890,gear_box
185.jpg,2402,1884,3025,2400,gear_box
186.jpg,1870,1842,2354,2345,gear_box
187.jpg,1915,2403,2422,2874,gear_box
188.jpg,1789,1481,2354,2013,gear_box
189.jpg,1947,774,2399,1300,gear_box
190.jpg,1135,184,1667,726,gear_box
191.jpg,706,232,1273,732,gear_box
192.jpg,360,626,973,1136,gear_box
193.jpg,451,1113,986,1678,gear_box
194.jpg,396,1803,989,2278,gear_box
195.jpg,393,1916,970,2494,gear_box
196.jpg,399,2429,1070,3024,gear_box
197.jpg,357,2265,1022,2852,gear_box
198.jpg,238,1794,793,2387,gear_box
199.jpg,393,1452,954,1910,gear_box
200.jpg,1564,2452,2112,2910,gear_box
201.jpg,683,2420,1093,3024,gear_box
202.jpg,189,1942,667,2561,gear_box
203.jpg,247,1097,854,1600,gear_box
204.jpg,173,442,847,823,gear_box
205.jpg,667,1094,1160,1645,gear_box
206.jpg,709,1736,1164,2316,gear_box
207.jpg,1470,958,2025,1481,gear_box
208.jpg,599,1090,1235,1497,gear_box
209.jpg,1067,1781,1528,2384,gear_box
210.jpg,1770,2155,2341,2681,gear_box
211.jpg,2496,1813,3031,2284,gear_box
212.jpg,3002,1432,3360,1949,gear_box
213.jpg,3031,755,3577,1216,gear_box
214.jpg,3173,1571,3744,2078,gear_box
215.jpg,2783,274,3367,784,gear_box
216.jpg,1622,432,2151,932,gear_box
217.jpg,528,1378,967,1881,gear_box
218.jpg,60,2184,715,2761,gear_box
219.jpg,2131,1268,2506,1794,gear_box
220.jpg,1631,1252,2109,1790,gear_box
221.jpg,2544,1861,3112,2365,gear_box
222.jpg,3351,1410,3996,1981,gear_box
223.jpg,3189,565,3877,1087,gear_box
224.jpg,2367,523,2954,987,gear_box
225.jpg,2677,1232,3160,1781,gear_box
226.jpg,3277,2420,3893,3024,gear_box
227.jpg,3141,542,3806,1061,gear_box
228.jpg,2128,1449,2644,2010,gear_box
229.jpg,1199,2026,1809,2642,gear_box
230.jpg,2609,2165,3244,2690,gear_box
231.jpg,3325,2155,3899,2781,gear_box
232.jpg,3115,1568,3780,2136,gear_box
233.jpg,3147,768,3770,1226,gear_box
234.jpg,2315,581,2831,1184,gear_box
235.jpg,2260,1329,2893,1923,gear_box
236.jpg,2406,1890,2989,2413,gear_box
237.jpg,1499,2023,2089,2639,gear_box
238.jpg,954,1165,1593,1784,gear_box
239.jpg,499,1820,1025,2439,gear_box
240.jpg,402,887,1054,1442,gear_box
241.jpg,157,190,812,778,gear_box
242.jpg,1077,320,1557,845,gear_box
243.jpg,1570,271,2151,865,gear_box
244.jpg,1599,1432,2131,1926,gear_box
245.jpg,2238,1658,2715,2174,gear_box
246.jpg,1122,2052,1731,2523,gear_box
247.jpg,622,1129,1173,1694,gear_box
248.jpg,877,487,1515,1026,gear_box
249.jpg,2044,232,2522,842,gear_box
250.jpg,170,2129,706,2745,gear_box
251.jpg,247,1223,802,1797,gear_box
252.jpg,209,342,854,900,gear_box
253.jpg,2109,120,2670,736,gear_box
254.jpg,3257,1255,3822,1752,gear_box
255.jpg,3060,316,3609,910,gear_box
256.jpg,215,1761,731,2349,gear_box
257.jpg,186,349,673,816,gear_box
258.jpg,1218,823,1667,1226,gear_box
259.jpg,770,1590,1283,2116,gear_box
260.jpg,1509,1910,1951,2384,gear_box
261.jpg,2341,1829,2870,2342,gear_box
262.jpg,1322,913,1777,1378,gear_box
263.jpg,2228,336,2757,871,gear_box
264.jpg,3135,939,3718,1516,gear_box
265.jpg,2254,1603,2780,2207,gear_box
266.jpg,1573,1065,2041,1484,gear_box
267.jpg,1080,1578,1573,2100,gear_box
268.jpg,2247,1171,2783,1645,gear_box
269.jpg,2631,571,3202,1152,gear_box
270.jpg,1035,1897,1522,2349,gear_box
271.jpg,2818,1929,3460,2452,gear_box
272.jpg,3170,316,3741,907,gear_box
273.jpg,1970,232,2435,736,gear_box
274.jpg,1041,958,1573,1455,gear_box
275.jpg,902,139,1464,652,gear_box
276.jpg,573,1910,1099,2432,gear_box
277.jpg,296,1078,851,1552,gear_box
278.jpg,2289,2245,2806,2749,gear_box
279.jpg,1070,2316,1606,2907,gear_box
280.jpg,1689,390,2131,845,gear_box
281.jpg,2554,287,3070,797,gear_box
282.jpg,1289,97,1825,623,gear_box
283.jpg,544,116,1167,694,gear_box
284.jpg,128,2323,709,2910,gear_box
285.jpg,467,1597,931,2110,gear_box
286.jpg,1496,2242,2012,2632,gear_box
287.jpg,2712,2139,3167,2665,gear_box
288.jpg,3196,1329,3677,1861,gear_box
289.jpg,2677,452,3202,929,gear_box
290.jpg,1506,500,2035,890,gear_box
291.jpg,531,461,1067,958,gear_box
292.jpg,64,55,702,542,gear_box
293.jpg,686,1632,1138,2165,gear_box
294.jpg,573,742,1057,1252,gear_box
295.jpg,2938,1968,3351,2510,gear_box
296.jpg,2154,903,2731,1403,gear_box
297.jpg,693,1090,1254,1607,gear_box
298.jpg,715,2045,1118,2671,gear_box
299.jpg,2041,2197,2628,2623,gear_box
300.jpg,2847,407,3373,871,gear_box
301.jpg,1696,152,2257,520,gear_box
302.jpg,3538,710,3999,1258,gear_box
303.jpg,3041,1878,3412,2416,gear_box
304.jpg,3231,2058,3622,2697,gear_box
305.jpg,2260,865,2786,1397,gear_box
306.jpg,712,1349,1296,1794,gear_box
307.jpg,1102,2023,1583,2497,gear_box
308.jpg,693,555,1170,1142,gear_box
309.jpg,93,2055,738,2574,gear_box
310.jpg,2654,1197,3289,1636,gear_box
311.jpg,2747,323,3367,807,gear_box
312.jpg,947,390,1457,974,gear_box
313.jpg,528,2055,1170,2555,gear_box
314.jpg,2280,1210,2922,1752,gear_box
315.jpg,783,1974,1441,2636,gear_box
316.jpg,609,390,1225,1007,gear_box
317.jpg,2554,494,3077,1026,gear_box
318.jpg,3009,1836,3638,2342,gear_box
319.jpg,1844,1968,2315,2555,gear_box
